Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1944,28.729032258064514,28.358620689655172,27.235483870967744,23.626666666666665,16.019354838709678,15.69,15.070967741935483,13.790322580645162,21.033333333333328,21.04193548387096,25.91666666666667,29.470967741935482
1945,28.61290322580646,27.00714285714286,27.41290322580645,25.10666666666667,19.896774193548385,17.836666666666666,13.90645161290323,17.183870967741935,20.65,24.99032258064516,25.103333333333335,27.738709677419354
1946,28.880645161290325,29.217857142857145,26.95483870967742,22.27,17.745161290322578,15.536666666666664,14.999999999999998,17.035483870967738,20.243333333333336,22.074193548387093,27.06,29.035483870967735
1947,30.419354838709676,29.03214285714285,28.10967741935484,23.910000000000004,20.041935483870965,15.050000000000002,14.574193548387095,16.33225806451613,18.313333333333333,22.26774193548387,26.633333333333336,28.76774193548387
1948,29.190322580645155,28.710344827586205,26.190322580645162,20.416666666666668,17.364516129032257,15.303333333333335,12.841935483870966,15.206451612903225,19.263333333333335,21.60322580645161,25.90666666666667,28.916129032258066
1949,29.800000000000004,28.74642857142857,26.400000000000002,23.396666666666665,17.970967741935482,13.963333333333335,14.851612903225808,15.235483870967743,17.843333333333337,24.387096774193548,25.546666666666663,28.190322580645166
1920,29.4741935483871,29.320689655172416,28.683870967741935,23.333333333333336,19.090322580645164,14.190000000000001,14.880645161290325,17.722580645161294,19.733333333333338,21.151612903225807,25.459999999999997,27.4516129032258
1921,29.319354838709675,28.742857142857144,26.061290322580643,23.170000000000005,18.85483870967742,14.086666666666668,15.941935483870967,16.967741935483872,18.30666666666667,22.216129032258067,26.013333333333335,27.9258064516129
1922,29.10645161290323,29.167857142857144,25.245161290322578,24.00333333333333,19.267741935483873,12.97,15.283870967741937,14.46774193548387,17.293333333333337,20.245161290322585,24.706666666666667,28.33225806451613
1923,28.745161290322578,28.48928571428571,27.190322580645166,23.95333333333333,18.270967741935483,14.250000000000002,12.774193548387094,14.819354838709675,19.000000000000004,18.519354838709678,25.743333333333332,26.490322580645163
1924,29.46129032258064,28.682758620689654,26.219354838709673,23.69333333333333,19.458064516129035,15.140000000000002,18.848387096774193,18.877419354838707,20.610000000000003,24.81612903225807,26.380000000000003,29.709677419354843
1925,30.41935483870968,28.878571428571426,27.741935483870968,22.86,18.5,16.599999999999998,14.241935483870968,19.08709677419355,17.916666666666668,22.7741935483871,24.586666666666666,29.093548387096778
1926,30.46451612903226,29.93928571428571,26.887096774193548,23.936666666666667,18.361290322580643,12.680000000000001,13.841935483870966,16.929032258064513,17.80333333333333,23.396774193548385,25.806666666666665,27.803225806451607
1927,30.38064516129032,29.107142857142858,26.85483870967742,24.416666666666668,18.06451612903226,14.73666666666667,14.816129032258067,17.69677419354839,15.669999999999996,21.500000000000004,24.953333333333333,27.590322580645164
1928,27.85806451612903,27.531034482758624,26.864516129032257,21.620000000000005,17.067741935483873,13.6,15.838709677419354,16.65806451612903,17.303333333333335,22.425806451612903,26.333333333333332,27.780645161290323
1929,29.212903225806453,29.439285714285717,27.183870967741935,25.19666666666667,17.903225806451612,14.879999999999997,17.49032258064516,14.803225806451614,19.21333333333333,21.42903225806452,26.54666666666667,27.219354838709673
1930,29.361290322580647,27.557142857142857,27.16774193548387,22.016666666666666,17.99032258064516,15.546666666666665,13.832258064516127,14.887096774193548,20.68666666666667,20.254838709677422,24.626666666666665,26.187096774193552
1931,28.60322580645161,28.510714285714283,27.73870967741935,21.053333333333335,16.4,15.3,12.174193548387098,14.674193548387098,17.05333333333333,23.903225806451612,23.10666666666667,29.429032258064517
1932,29.53870967741935,29.055172413793102,26.56129032258064,21.226666666666667,18.29032258064516,13.963333333333335,15.09032258064516,14.264516129032257,17.683333333333337,20.493548387096777,24.106666666666666,26.477419354838716
1933,27.37096774193549,27.78928571428571,25.906451612903222,23.126666666666665,16.325806451612905,14.806666666666668,13.074193548387097,16.087096774193547,17.63,21.690322580645162,25.846666666666668,27.187096774193545
1934,29.725806451612904,27.878571428571433,25.087096774193547,21.940000000000005,16.761290322580646,12.083333333333334,14.064516129032258,16.612903225806452,17.666666666666668,19.809677419354845,23.433333333333334,26.448387096774194
1935,29.335483870967742,27.342857142857145,27.374193548387098,23.223333333333336,19.7,13.146666666666668,12.551612903225807,16.216129032258063,16.303333333333335,18.74516129032258,26.24666666666667,27.71935483870968
1936,29.88064516129032,27.651724137931033,25.477419354838705,22.303333333333338,15.896774193548385,13.563333333333333,14.961290322580643,14.941935483870969,19.509999999999998,22.36451612903226,25.076666666666668,27.75161290322581
1937,29.112903225806452,27.735714285714284,26.280645161290316,22.673333333333332,17.612903225806452,15.339999999999998,14.441935483870969,14.980645161290322,16.66,21.512903225806454,24.09333333333333,28.832258064516132
1938,27.880645161290325,28.50357142857143,24.980645161290326,20.84,16.548387096774192,13.330000000000002,13.593548387096778,15.129032258064518,20.096666666666668,22.51290322580645,25.52,29.493548387096773
1939,30.00967741935484,28.821428571428573,27.14516129032258,24.776666666666664,17.406451612903226,15.816666666666665,16.612903225806452,17.696774193548386,19.46,20.112903225806456,24.826666666666668,26.974193548387095
1940,29.2741935483871,28.351724137931036,26.348387096774193,23.773333333333337,18.170967741935485,14.466666666666665,14.787096774193548,15.635483870967743,18.553333333333335,22.377419354838704,23.80666666666667,27.522580645161288
1941,29.093548387096778,12.385714285714286,25.73548387096774,19.369999999999997,15.612903225806452,13.113333333333337,13.20967741935484,14.216129032258062,18.496666666666666,24.267741935483873,22.89,28.406451612903222
1942,29.861290322580643,29.296428571428574,25.664516129032258,22.15666666666667,18.33225806451613,13.076666666666666,12.86451612903226,14.00322580645161,18.4,22.645161290322584,24.99666666666667,27.719354838709677
1943,30.080645161290327,30.167857142857148,25.783870967741933,22.626666666666665,17.412903225806453,12.72666666666667,14.264516129032257,15.0,19.136666666666667,22.71290322580645,25.68,28.077419354838714
1944,28.729032258064514,28.358620689655172,27.235483870967744,23.626666666666665,16.019354838709678,15.69,15.070967741935483,13.790322580645162,21.033333333333328,21.04193548387096,25.91666666666667,29.470967741935482
1945,28.61290322580646,27.00714285714286,27.41290322580645,25.10666666666667,19.896774193548385,17.836666666666666,13.90645161290323,17.183870967741935,20.65,24.99032258064516,25.103333333333335,27.738709677419354
1946,28.880645161290325,29.217857142857145,26.95483870967742,22.27,17.745161290322578,15.536666666666664,14.999999999999998,17.035483870967738,20.243333333333336,22.074193548387093,27.06,29.035483870967735
1947,30.419354838709676,29.03214285714285,28.10967741935484,23.910000000000004,20.041935483870965,15.050000000000002,14.574193548387095,16.33225806451613,18.313333333333333,22.26774193548387,26.633333333333336,28.76774193548387
1948,29.190322580645155,28.710344827586205,26.190322580645162,20.416666666666668,17.364516129032257,15.303333333333335,12.841935483870966,15.206451612903225,19.263333333333335,21.60322580645161,25.90666666666667,28.916129032258066
1949,29.800000000000004,28.74642857142857,26.400000000000002,23.396666666666665,17.970967741935482,13.963333333333335,14.851612903225808,15.235483870967743,17.843333333333337,24.387096774193548,25.546666666666663,28.190322580645166
1920,29.4741935483871,29.320689655172416,28.683870967741935,23.333333333333336,19.090322580645164,14.190000000000001,14.880645161290325,17.722580645161294,19.733333333333338,21.151612903225807,25.459999999999997,27.4516129032258
1921,29.319354838709675,28.742857142857144,26.061290322580643,23.170000000000005,18.85483870967742,14.086666666666668,15.941935483870967,16.967741935483872,18.30666666666667,22.216129032258067,26.013333333333335,27.9258064516129
1922,29.10645161290323,29.167857142857144,25.245161290322578,24.00333333333333,19.267741935483873,12.97,15.283870967741937,14.46774193548387,17.293333333333337,20.245161290322585,24.706666666666667,28.33225806451613
1923,28.745161290322578,28.48928571428571,27.190322580645166,23.95333333333333,18.270967741935483,14.250000000000002,12.774193548387094,14.819354838709675,19.000000000000004,18.519354838709678,25.743333333333332,26.490322580645163
1924,29.46129032258064,28.682758620689654,26.219354838709673,23.69333333333333,19.458064516129035,15.140000000000002,18.848387096774193,18.877419354838707,20.610000000000003,24.81612903225807,26.380000000000003,29.709677419354843
1925,30.41935483870968,28.878571428571426,27.741935483870968,22.86,18.5,16.599999999999998,14.241935483870968,19.08709677419355,17.916666666666668,22.7741935483871,24.586666666666666,29.093548387096778
1926,30.46451612903226,29.93928571428571,26.887096774193548,23.936666666666667,18.361290322580643,12.680000000000001,13.841935483870966,16.929032258064513,17.80333333333333,23.396774193548385,25.806666666666665,27.803225806451607
1927,30.38064516129032,29.107142857142858,26.85483870967742,24.416666666666668,18.06451612903226,14.73666666666667,14.816129032258067,17.69677419354839,15.669999999999996,21.500000000000004,24.953333333333333,27.590322580645164
1928,27.85806451612903,27.531034482758624,26.864516129032257,21.620000000000005,17.067741935483873,13.6,15.838709677419354,16.65806451612903,17.303333333333335,22.425806451612903,26.333333333333332,27.780645161290323
1929,29.212903225806453,29.439285714285717,27.183870967741935,25.19666666666667,17.903225806451612,14.879999999999997,17.49032258064516,14.803225806451614,19.21333333333333,21.42903225806452,26.54666666666667,27.219354838709673
1930,29.361290322580647,27.557142857142857,27.16774193548387,22.016666666666666,17.99032258064516,15.546666666666665,13.832258064516127,14.887096774193548,20.68666666666667,20.254838709677422,24.626666666666665,26.187096774193552
1931,28.60322580645161,28.510714285714283,27.73870967741935,21.053333333333335,16.4,15.3,12.174193548387098,14.674193548387098,17.05333333333333,23.903225806451612,23.10666666666667,29.429032258064517
1932,29.53870967741935,29.055172413793102,26.56129032258064,21.226666666666667,18.29032258064516,13.963333333333335,15.09032258064516,14.264516129032257,17.683333333333337,20.493548387096777,24.106666666666666,26.477419354838716
